no,plot,block,replanted,species,mycorrhiza,substrate,soilType,acidbrickRatioTreat,brickRatio,acid,conf.low,conf.high,rgr13,rgr12,rgr23,sla1,sla2,sla3,abstransRatio,srl,rtd,branchingIntensity,rmf,lmf,smf,rootshootRatio
26,BY5Anoac,B,0,Acer,Control,substrate_2,rich,Acid_5,5,Acid,26,26,0.0014681030628311926,0.003726109404033516,0.0024226294358380457,160.95238095238096,157.88461538461536,175.89743589743588,1.3948339483394843,46.16402116402115,2.822751322751322,3.0240687679083096,0.558014782892687,0.14542642526530752,0.29655879184200545,1.2625191099031765
27,BY5Tmyac,B,0,Tilia,Mycorrhiza,substrate_2,rich,Acid_5,5,Acid,27,27,0.0013242654770026269,0.0033610433573925368,0.0021852720062198825,213.57142857142853,237.5,239.0909090909091,0.5628415300546445,56.74757281553399,2.640776699029127,6.525235243798118,0.5880005961866982,0.09498859219683332,0.3170108116164685,1.4271879782941421
28,BY5Tnoac,B,0,Tilia,Control,substrate_2,rich,Acid_5,5,Acid,28,28,0.0015423044023356724,0.003914435629841081,0.0025450747557977348,141.5625,147.91666666666669,170,0.9315352697095437,42.004454342984424,3.111358574610246,5.425238600212089,0.5532769961789218,0.0977660941834699,0.3489569096376082,1.2385236297357114
29,CY5Amyac,C,0,Acer,Mycorrhiza,substrate_2,rich,Acid_5,5,Acid,29,29,0.002392360059889233,0.006071913847653651,0.003947816777273045,144.7777777777778,155.75342465753425,149.42857142857142,0.9414824447334201,26.270718232044192,3.761049723756905,3.9032597266035753,0.580695434023305,0.1004337487804775,0.31887081719621746,1.3849012892828363
30,CY5Anoac,C,0,Acer,Control,substrate_2,rich,Acid_5,5,Acid,30,30,0.001638832634825278,0.004159428480779374,0.0027043633938636214,152.88888888888889,163.94736842105263,156.94444444444446,0.5170603674540687,38.57868020304567,2.9847715736040596,4.742105263157895,0.5728991939673728,0.16510309201834725,0.26199771401427996,1.341367625336693
31,CY5Tmyac,C,0,Tilia,Mycorrhiza,substrate_2,rich,Acid_5,5,Acid,31,31,0.00194136009812198,0.0049272563359943735,0.003203587158385034,167.77777777777777,197.14285714285714,188.33333333333334,1.1734693877551012,59.6521739130436,3.2260869565217454,5.925655976676385,0.543841012237514,0.10591471078552535,0.35024427697696064,1.1922181231265851
32,CY5Tnoac,C,0,Tilia,Control,substrate_2,rich,Acid_5,5,Acid,32,32,0.001703267729508274,0.004322967552610674,0.0028106926843829115,164.77272727272728,165.42857142857144,171.36363636363637,0.686274509803922,29.08571428571428,2.7142857142857135,11.833005893909627,0.49952717781896583,0.10027612815372397,0.4001966940273102,0.998110498072708
33,DY5Amyac,D,1,Acer,Mycorrhiza,substrate_2,rich,Acid_5,5,Acid,33,33,0.0017132399656991121,0.004687760887741129,0.0027000177551300495,173.44827586206895,153.66666666666669,167.25,0.9359605911330043,31.92105263157896,3.7394736842105276,2.6479802143446003,0.46393425023558743,0.12095475528729735,0.4151109944771152,0.8654428126390744
34,DY5Anoac,D,1,Acer,Control,substrate_2,rich,Acid_5,5,Acid,34,34,0.0014957669434751625,0.0040927120048461505,0.002357286419752376,200.49180327868854,201.33333333333334,198.33333333333334,6.118811881188123,24.14239482200646,3.3381877022653708,3.294235924932976,0.5203733102419781,0.14768845913311204,0.33193823062490974,1.0849548645937814
35,DY5Tmyac,D,0,Tilia,Mycorrhiza,substrate_2,rich,Acid_5,5,Acid,35,35,0.0015780392075055124,0.004005132119049317,0.0026040434978977893,211,218.88888888888889,222.22222222222223,0.37383177570093473,40.8333333333333,2.683333333333331,5.122448979591836,0.5572169899323526,0.11525625168427525,0.3275267583833722,1.2584425717852683
36,DY5Tnoac,D,0,Tilia,Control,substrate_2,rich,Acid_5,5,Acid,36,36,0.0012439064781138718,0.0031570887243433593,0.0020526654603504526,208.88888888888891,212.85714285714283,214.16666666666666,0.1717171717171708,148.82352941176552,7.911764705882398,6.33794466403162,0.4038753524690912,0.12556334803460828,0.4705612994963006,0.6775015160703456
37,EY5Amyac,E,0,Acer,Mycorrhiza,substrate_2,rich,Acid_5,5,Acid,37,37,0.0018506686624190647,0.0046970775290744735,0.003053930266253368,160.65040650406505,183.97435897435898,188.79310344827587,0.8893617021276604,37.320574162679414,2.7177033492822953,7.576923076923077,0.505894417773099,0.13835319314995145,0.3557523890769496,1.0238589402148957
