no	plot	block	replanted	species	mycorrhiza	substrate	soilType	acidbrickRatioTreat	brickRatio	acid	soilMoisture1	soilMoisture2	soilMoisture3	soilMoisture4	soilMoisture5	soilMoisture6	comment	conf.low	conf.high	rgr13	rgr12	rgr23	sla1	sla2	sla3	abstransRatio	srl	rtd	rmf	lmf	smf	rootshootRatio
90	EY30Tnono	E	0	Tilia	Control	substrate_3	rich	Control_30	30	Control	25.4	23.9	22.6	13.8	14.8	13.8	NA	90	90	0.00143883164346966	0.00365181726902355	0.00237432642226266	205.587392550143	190.666666666667	187.142857142857	0.0752427184466023	123.870967741935	4.74193548387095	0.491807194889278	0.110045728518903	0.398147076591819	0.967757099162641
91	AZ30Anono	A	1	Acer	Control	substrate_6	poor	Control_30	30	Control	16	15.3	12.2	10.6	7.6	6	NA	91	91	0.000425720451080683	0.0010804970144276	0.000702513959910526	176.103725586739	174.603174603175	179.818181818182	0.478125	43.921568627451	3.26797385620915	0.505222089660767	0.12968227514157	0.365095635197663	1.02110882297549
92	AZ30Tnono	A	0	Tilia	Control	substrate_6	poor	Control_30	30	Control	20.6	19.3	22.4	6.7	10.3	7.8	NA	92	92	0.00126671549610322	0.00321497900369677	0.00209030436989472	209.327548806941	224.444444444444	196.666666666667	0.266331658291457	86.8867924528303	3.68867924528302	0.501821551623805	0.0963171498152097	0.401861298560985	1.00731284795536
93	BZ30Anono	B	0	Acer	Control	substrate_6	poor	Control_30	30	Control	13.5	12.3	16.7	5.6	5.5	7.5	balls_prob	93	93	0.00112510253246277	0.00285555914489192	0.00185661795992973	143.454303629109	145	137.241379310345	1.24050632911392	33.9455782312925	3.78571428571429	0.623840937234459	0.138250092288855	0.237908970476686	1.65844983940556
94	BZ30Tnono	B	0	Tilia	Control	substrate_6	poor	Control_30	30	Control	14.4	14.5	15	3.2	1.4	5.5	NA	94	94	0.00106800809362038	0.00271065097674302	0.0017624020484831	184.905660377359	175.238095238095	203.571428571429	0.32943143812709	52.4365482233502	3.09644670050761	0.571815997380012	0.0922220954750016	0.335961907144986	1.33544456093914
95	CZ30Anono	C	0	Acer	Control	substrate_6	poor	Control_30	30	Control	17.9	16.8	20.7	3.5	8.7	9.8	turbid	95	95	0.00154832643980258	0.00392971982275982	0.00255501218158235	143.728222996516	147.6	144.042553191489	1.59734513274336	46.814404432133	3.1218836565097	0.561656224407253	0.144922147806121	0.293421627786626	1.28131447434781
96	CZ30Tnono	C	0	Tilia	Control	substrate_6	poor	Control_30	30	Control	17.4	18.8	14.8	5.8	8.4	10	NA	96	96	0.00131073215626051	0.00332669520094379	0.00216293963594932	190.974133186571	200.666666666667	198.571428571429	0.557993730407523	85	4.08988764044944	0.520061770528745	0.102362875885587	0.377575353585667	1.08360146909258
97	DZ30Anono	D	0	Acer	Control	substrate_6	poor	Control_30	30	Control	14.7	18.9	21.4	8.4	8.4	7.9	NA	97	97	0.00103171753148765	0.00261854395219964	0.001702516209204	166.089216110871	173.488372093023	162.127659574468	0.735294117647059	41.48	3.444	0.668741151245566	0.11474522006772	0.216513628686714	2.01878728299666
98	DZ30Tnono	D	0	Tilia	Control	substrate_6	poor	Control_30	30	Control	21.3	18.9	16.5	10.1	7.4	11.7	NA	98	98	0.00106210280334011	0.00269566309325996	0.00175265727618315	196.368848542762	180	198.571428571429	0.25609756097561	114.380952380952	4.18095238095238	0.526016153387653	0.0823613588052365	0.39162248780711	1.10977654016522
99	EZ30Anono	E	0	Acer	Control	substrate_6	poor	Control_30	30	Control	17.3	16.9	19.9	3.1	4.6	7.2	NA	99	99	0.00118015696878074	0.00299528969793807	0.00194746750678659	158.291999137373	163.653846153846	154.509803921569	0.670016750418761	38.6	3.7925	0.575713032130869	0.124590527991334	0.299696439877796	1.35689539328119
100	EZ30Tnono	E	0	Tilia	Control	substrate_6	poor	Control_30	30	Control	18.5	21.1	22.7	9.8	9.5	13.6	NA	100	100	0.000885512454296812	0.0022474691095468	0.0014612520005534	190.555095277548	217.777777777778	206.25	0.395652173913043	37.5274725274725	2.60989010989011	0.553651023515067	0.0954992591477708	0.350849717337163	1.24039944680764
